Project Name,Project ID,Project Type,Extension Type,Extension Version,Hub ID,Root Folder ID,Self Link,Web View Link
mockup_Vorlage_Swissgrid,b.39521653-6c61-4809-b57c-b4b75807e73a,ACC,projects:autodesk.bim360:Project,1.0,b.258b4462-aa85-4770-a403-7187b4fd647f,urn:adsk.wipemea:fs.folder:co.EB0ZmaSASuy09aFhorsnlQ,https://developer.api.autodesk.com/project/v1/hubs/b.258b4462-aa85-4770-a403-7187b4fd647f/projects/b.39521653-6c61-4809-b57c-b4b75807e73a,https://acc.autodesk.eu/docs/files/projects/39521653-6c61-4809-b57c-b4b75807e73a
SAAA-ProvisionerAAA,b.77e1ff93-afa7-4b90-9a13-ee17f2aa8fb7,ACC,projects:autodesk.bim360:Project,1.0,b.258b4462-aa85-4770-a403-7187b4fd647f,urn:adsk.wipemea:fs.folder:co.ztBvZypZTj2AXBmcoQClFQ,https://developer.api.autodesk.com/project/v1/hubs/b.258b4462-aa85-4770-a403-7187b4fd647f/projects/b.77e1ff93-afa7-4b90-9a13-ee17f2aa8fb7,https://acc.autodesk.eu/docs/files/projects/77e1ff93-afa7-4b90-9a13-ee17f2aa8fb7
SCCC-ProvisionerCCC,b.2c5afcf9-8156-4ccc-8a58-78cfb62e451e,ACC,projects:autodesk.bim360:Project,1.0,b.258b4462-aa85-4770-a403-7187b4fd647f,urn:adsk.wipemea:fs.folder:co.A2zMxhmkSCKTEBNvQhCWkQ,https://developer.api.autodesk.com/project/v1/hubs/b.258b4462-aa85-4770-a403-7187b4fd647f/projects/b.2c5afcf9-8156-4ccc-8a58-78cfb62e451e,https://acc.autodesk.eu/docs/files/projects/2c5afcf9-8156-4ccc-8a58-78cfb62e451e
Component Library Project 8bd82268-1e73-41d1-9d23-cb3ca9684488,b.d2043481-df94-4f97-952f-dff1052869ac,ACC,projects:autodesk.bim360:Project,1.0,b.258b4462-aa85-4770-a403-7187b4fd647f,urn:adsk.wipemea:fs.folder:co.g3gjIOPyRDSE1NACCVHXEA,https://developer.api.autodesk.com/project/v1/hubs/b.258b4462-aa85-4770-a403-7187b4fd647f/projects/b.d2043481-df94-4f97-952f-dff1052869ac,https://acc.autodesk.eu/docs/files/projects/d2043481-df94-4f97-952f-dff1052869ac
IN_ACC_but_Not_In_SF,b.a231c335-dae5-4322-977f-3045ce321f09,ACC,projects:autodesk.bim360:Project,1.0,b.258b4462-aa85-4770-a403-7187b4fd647f,urn:adsk.wipemea:fs.folder:co.2kdWWKNVSy2xxNGkeBAnbQ,https://developer.api.autodesk.com/project/v1/hubs/b.258b4462-aa85-4770-a403-7187b4fd647f/projects/b.a231c335-dae5-4322-977f-3045ce321f09,https://acc.autodesk.eu/docs/files/projects/a231c335-dae5-4322-977f-3045ce321f09
